AC NO,Part NO,Polling Station Name(Kannada),Polling Station Name(English)
19,1,ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ  ಹೆಣ್ಣು ಮಕ್ಕಳ ಶಾಲೆ ಮದ್ಯದ ಭಾಗ ಹಳೆಯ ಕಟ್ಟಡ ಬೆಳಗಲಿ,
19,2,ಗ್ರಾಮ ಚಾವಡಿ ಬೆಳಗಲಿ,
19,3,"ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಹೆಣ್ಣು ಮಕ್ಕಳ ಶಾಲೆ ಹಿಂದಿನ ಭಾಗ,ಬೆಳಗಲಿ",
19,4,"ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಹೆಣ್ಣು ಮಕ್ಕಳ ಶಾಲೆ,ಮದ್ಯದ ಭಾಗ ಹೊಸ ಕಟ್ಟಡ ನಡುವಿನ ಕೋಣೆ ಬೆಳಗಲಿ.",
19,5,ಸರಕಾರಿ ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ  ಪ್ರೌಡ  ಶಾಲೆ ಹೊಸದು ದಕ್ಷಿಣ ಭಾಗ ಬೆಳಗಲಿ,
19,6,"ಸರಕಾರಿ ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ  ಪ್ರೌಡ ಶಾಲೆ ಹೊಸದು ಕಟ್ಟಡ  ಎಡಭಾಗದ ಕೋಣೆ,ಬೆಳಗಲಿ",
19,7,"ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ  ಹೊಸ ಕಟ್ಟಡ ನಡುವಿನ ಭಾಗ,ಬೆಳಗಲಿ",
19,8,"ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ  ಹೊಸ ಕಟ್ಟಡ ಪೂವಱ ಭಾಗ ರೂಮ ನಂ.1 ಭಾಗ,ಬೆಳಗಲಿ",
19,9,"ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ನಡುವಿನ ಕೋಣೆ  ಹೊಸ ಕಟ್ಟಡ ಉತ್ತರ ಭಾಗ,ಬೆಳಗಲಿ",
19,10,ಗ್ರಾಮ ಪಂಚಾಯತ ಆಫೀಸ ಬೆಳಗಲಿ,
19,11,ಗ್ರಾಮ ಪಂಚಾಯತ  ಗ್ರಂಥಾಲಯ ಆಫೀಸ ಬೆಳಗಲಿ,
19,12,ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ  ಶಾಲೆ ಜನತಾ ಕಾಲೋನಿ ಬೆಳಗಲಿ,
19,13,ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಜನತಾ ಕಾಲನಿ ರೂಮ ನಂ 3 ಬೆಳಗಲಿ,
19,14,ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಕುಳಲಿ,
