AC NO,Part NO,Polling Station Name(Kannada),Polling Station Name(English)
205,1,ಸಮುದಾಯ ಭವನ (ಸಮಾಜ ಮಂದಿರ) (ಉತ್ತರ ಭಾಗ) ಕರ್ಪೆ,
205,2,ಸಮುದಾಯ ಭವನ  (ಸಮಾಜ ಮಂದಿರ)ಧಕ್ಷಿಣ ಭಾಗ ಕರ್ಪೆ,
205,3,ದಕ್ಷಿಣ ಕನ್ನಡ ಜಿಲ್ಲಾ ಪಂಚಾಯತ್‌ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಕೆರೆಬಳಿ ಸಂಗಬೆಟ್ಟು ಗ್ರಾಮ(ಧಕ್ಷಿಣ ಭಾಗ),
205,4,ಸರ್ಕಾರಿ ಪದವಿ ಪೂರ್ವ ಕಾಲೇಜು ಸಿದ್ದ ಕಟ್ಟೆ ಸಂಗಬೆಟ್ಟು  ಗ್ರಾಮ,
205,5,"ಸೈಂಟ್‌ ಪ್ಯಾಟ್ರಿಕ್‌ ಖಾಸಗಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಸಿದ್ದಕಟ್ಟೆ , ಸಂಗಬೆಟ್ಟು ಗ್ರಾಮ (ಪಶ್ಚಿಮ ಭಾಗ)",
205,6,"ಸೈಂಟ್‌ ಪ್ಯಾಟ್ರಿಕ್‌ ಖಾಸಗಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಸಿದ್ದಕಟ್ಟೆ , ಸಂಗಬೆಟ್ಟು ಗ್ರಾಮ (ಪೂರ್ವ ಭಾಗ)",
205,7,ಸೈಂಟ್‌ ಪ್ಯಾಟ್ರಿಕ್‌ ಖಾಸಗಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ (ಚರ್ಚ್ ಹತ್ತಿರ) ಸಿದ್ದಕಟ್ಟೆ ಕುಕ್ಕಿಪ್ಪಾಡಿ,
205,8,ಸೈಂಟ್‌ ಬಾರ್ತಲೋಮಿಯೋ ಅನುದಾನಿತ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ  ಶಾಲೆ (ಪೂರ್ವ ಭಾಗ)ಕುಕ್ಕಿಪ್ಪಾಡಿ,
205,9,ಸೈಂಟ್‌ ಬಾರ್ತಲೋಮಿಯೋ ಅನುದಾನಿತ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ  ಶಾಲೆ ಕುಕ್ಕಿಪ್ಪಾಡಿ(ಪಶ್ಚಿಮ ಭಾಗ),
205,10,ದಕ್ಷಿಣ ಕನ್ನಡ ಜಿಲ್ಲಾ ಪಂಚಾಯತ್‌ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಎಲಿಯನಡುಗೋಡು (ಉತ್ತರ ಭಾಗ),
205,11,ದಕ್ಷಿಣ ಕನ್ನಡ ಜಿಲ್ಲಾ ಪಂಚಾಯತ್‌ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಎಲಿಯನಡುಗೋಡು (ದಕ್ಷಿಣ ಭಾಗ),
205,12,"ಸರ್ಕಾರಿ ಪದವಿ ಪೂರ್ವ ಕಾಲೇಜು,ವಾಮದಪದವು,ಚೆನ್ನೈತ್ತೋಡಿ ಗ್ರಾಮ(ಪಶ್ಚಿಮ ಭಾಗ)",
205,13,"ಸರ್ಕಾರಿ ಪದವಿ ಪೂರ್ವ ಕಾಲೇಜು,ವಾಮದಪದವು,ಚೆನ್ನೈತೋಡಿ ಗ್ರಾಮ(ಉತ್ತರ ಭಾಗ)",
205,14,ದಕ್ಷಿಣ ಕನ್ನಡ ಜಿಲ್ಲಾ ಪಂಚಾಯತ್‌ ಮಾದರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಚೆನ್ನೈತ್ತೋಡಿ (ದಕ್ಷಿಣ ಭಾಗ),
205,15,ದಕ್ಷಿಣ ಕನ್ನಡ ಜಿಲ್ಲಾ ಪಂಚಾಯತ್‌ ಮಾದರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಚೆನ್ನೈತ್ತೋಡಿ (ಉತ್ತರ ಭಾಗ),
