AC NO,Part NO,Polling Station Name(Kannada),Polling Station Name(English)
10,1,ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಹಳೆ ಕಟ್ಟಡ,
10,2,ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಕನ್ನಡ  ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಹೊಸ ಕಟ್ಟಡ,
10,3,ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಕನ್ನಡ  ಶಾಲೆ,
10,4,ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ  ಉರ್ದು ಶಾಲೆ,
10,5,ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ  ಕನ್ನಡ  ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ,
10,6,"ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಕನ್ನಡ  ಹೆಣ್ಣು  ಮಕ್ಕಳ ಶಾಲೆ, ಎಡಭಾಗ",
10,7,"ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಕನ್ನಡ  ಹೆಣ್ಣು  ಮಕ್ಕಳ ಶಾಲೆ, ಬಲಭಾಗ",
10,8,"ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಕನ್ನಡ ಶಾಲೆ , ಎಡಭಾಗ",
10,9,"ಸ. ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಕನ್ನಡ ಶಾಲೆ, ಬಲಭಾಗ",
10,10,ಪಂಚಾಯತ ಕಚೇರಿ,
10,11,ಸರಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಕನ್ನಡ ಶಾಲೆ ಬಲಭಾಗ ಮುಂದಿನ ಕೋಣೆ,
10,12,ಸ.ಹಿ.ಪ್ರಾ.ಕನ್ನಡ ಹೆಣ್ಣು ಮಕ್ಕಳ ಶಾಲೆ ಎಡಭಾಗ,
10,13,ಸ.ಹಿ.ಪ್ರಾ.ಕನ್ನಡ ಹೆಣ್ಣು ಮಕ್ಕಳ ಶಾಲೆ ಬಲಭಾಗ,
10,14,ಸ.ಹಿ.ಪ್ರಾ.ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆ ಎಡ ಭಾಗ,
10,15,ಡಿ.ಎಲ್‌.ಖೋತ  ಸಂಯುಕ್ತ ಜ್ಯೂನಿಯರ ಕಾಲೇಜ ಬಲಭಾಗ,
10,16,ಡಿ.ಎಲ್‌.ಖೋತ ಸಂಯುಕ್ತ  ಜ್ಯೂನಿಯರ ಕಾಲೇಜ ಮಧ್ಯ ಭಾಗ,
10,17,ಡಿ.ಎಲ್‌.ಖೋತ ಸಂಯುಕ್ತ  ಜ್ಯೂನಿಯರ ಕಾಲೇಜ ಎಡಭಾಗ,
