AC NO,Part NO,Polling Station Name(Kannada),Polling Station Name(English)
196,1,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ , ರಾಮದೇವರಪುರ",
196,2,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಯಲಗುಂದ,
196,3,ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಮಲ್ಲನಾಯಕನಹಳ್ಳಿ,
196,4,ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಸೊಪ್ಪಿನಹಳ್ಳಿ,
196,5,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಐದಳ್ಳ ಕಾವಲ್‌",
196,6,ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಬೊಮ್ಮೇನಹಳ್ಳಿ,
196,7,ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಸಿಂಗಟಗೆರೆ,
196,8,ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಬ್ರಹ್ಮದೇವರಹಳ್ಳಿ,
196,9,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ನಿಟ್ಟೂರು, (ಪಶ್ಚಿಮ ಭಾಗ)",
196,10,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ನಿಟ್ಟೂರು, (ಪೂರ್ವ ಭಾಗ)",
196,11,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಕೆಲವತ್ತಿ,
196,12,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಹರುವನಹಳ್ಳಿ",
196,13,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಹೊಮ್ಮಗೋಡನಹಳ್ಳಿ,
196,14,ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ದ್ಯಾಪಲಾಪುರ,
196,15,ಸರ್ಕಾರಿ  ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ  ಬಲ್ಲೇನಹಳ್ಳಿ,
196,16,ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಮಾದಿಹಳ್ಳಿ,
196,17,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ರಾಯಪುರ,
196,18,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಪಾಠಶಾಲೆ ಕೊಂಡಜ್ಜಿ,
196,19,ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಚಿಕ್ಕಗದ್ದವಳ್ಳಿ,
196,20,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ದೊಡ್ಡಗದ್ದವಳ್ಳಿ",
196,21,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಲಕ್ಷ್ಮಿಪುರ",
196,22,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ವೀರಾಪುರ,
196,23,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಕಡದರವಳ್ಳಿ",
196,24,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ  ಉರ್ದು ಶಾಲೆ , ಗುಳ್ಳೇನಹಳ್ಳಿ",
196,25,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಸೀಗೆ",
196,26,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಕಕ್ಕೀಹಳ್ಳಿ",
196,27,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, (ಹಲಸಿನಹಳ್ಳಿ (ಕಡಗ ದಾಖಲೆ)",
196,28,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಕಡಗ",
196,29,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಸಾಲಗಾಮೆ, (ದಕ್ಷಿಣ ಭಾಗ)",
196,30,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಸಾಲಗಾಮೆ, (ಉತ್ತರ ಭಾಗ)",
196,31,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಆಲದಹಳ್ಳಿ",
196,32,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಶಂಖ,
196,33,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಇಬ್ಬದಾಣಿ",
196,34,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಸಾಣೇನಹಳ್ಳಿ",
196,35,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಉಗನೆ",
196,36,ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಕ್ಯಾತನಹಳ್ಳಿ,
196,37,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ , ದಸ್ಸೂರು",
196,38,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಗುಂಡಶೆಟ್ಟಿಹಳ್ಳಿ",
196,39,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಛತ್ರನಹಳ್ಳಿ",
196,40,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಬೈಲಹಳ್ಳಿ",
196,41,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಕಲ್ಲಹಳ್ಳಿ",
196,42,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಕಾಳತಮ್ಮನಹಳ್ಳಿ",
196,43,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಮಾರನಹಳ್ಳಿ",
196,44,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಮಲ್ಲೇನಹಳ್ಳಿ",
196,45,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಕುಪ್ಪಳ್ಳಿ",
196,46,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಚಿನ್ನೇನಹಳ್ಳಿ",
196,47,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, (ಎಡಭಾಗ) ತೇಜೂರು",
196,48,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ತವರದೇವರಕೊಪ್ಪಲು (ಕಂಚಮಾರನಹಳ್ಳಿ ದಾ)",
196,49,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಕಂಚಮಾರನಹಳ್ಳಿ,
196,50,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ (ಬಲಭಾಗ), ದೊಡ್ಡಕೊಂಡಗುಳ.",
196,51,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಚಿಟ್ಟನಹಳ್ಳಿ,
196,52,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ,ದೊಡ್ಡಪುರ",
196,53,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ನಿಡುಡಿ",
196,54,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಯಡಿಯೂರು",
196,55,"ಗ್ರಾಮಪಂಚಾಯಿತಿ ಕಾರ್ಯಾಲಯ  ದಾಸರಕೊಪ್ಪಲು, ಹಾಸನ",
196,56,"ಸಮುದಾಯ ಭವನ, ಅಂತರಿಕ್ಷ ನಗರ.",
196,57,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, (ದಕ್ಷಿಣ ಬಾಗ)ದಾಸರಕೊಪ್ಪಲು",
196,58,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, (ಮಧ್ಯಭಾಗ )ದಾಸರಕೊಪ್ಪಲು",
196,59,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, (ಮದ್ಯ ಬಾಗ) ದಾಸರಕೊಪ್ಪಲು",
196,60,ಸರ್ಕಾರಿ ಪ್ರೌಢ ಶಾಲೆ ದಾಸರಕೊಪ್ಪಲು,
196,61,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, (ಬಲಭಾಗ) ತೇಜೂರು",
196,62,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ದ್ಯಾವಪ್ಪನಕೊಪ್ಪಲು",
196,63,ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ (ಉತ್ತರ ಭಾಗ) ಚಿಕ್ಕಹೊನ್ನೇನಹಳ್ಳಿ-1,
196,64,ಅಂಗನವಾಡಿ ಕೇಂದ್ರ ಚಿಕ್ಕಹೊನ್ನೇನಹಳ್ಳಿ,
196,65,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ , ಚಿಕ್ಕಹೊನ್ನೇನಹಳ್ಳಿ (ದಕ್ಷಿಣ ಭಾಗ )",
196,66,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಚಿಕ್ಕಕೊಂಡಗುಳ ಕೊಪ್ಪಲು",
196,67,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಉದ್ದೂರು",
196,68,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಹೂವಿನಹಳ್ಳಿ ಕಾವಲು",
196,69,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ, ಹೂವಿನಹಳ್ಳಿ",
