AC NO,Part NO,Polling Station Name(Kannada),Polling Station Name(English)
216,1,"ಹೇಮಾವತಿ ಪ್ರಾಥಮಿಕ ಮತ್ತು ಫ್ರೌಢಶಾಲೆ,ಟಿ.ಕೆ.ಬಡಾವಣೆ,4ನೇ ಹಂತ,ರೂಂ ನಂ.1 ಮೈಸೂರು",
216,2,"ಹೇಮಾವತಿ ಪ್ರಾಥಮಿಕ ಮತ್ತು ಫ್ರೌಢಶಾಲೆ,ಟಿ.ಕೆ.ಬಡಾವಣೆ,4ನೇ ಹಂತ,ರೂಂ ನಂ.2,ಮೈಸೂರು",
216,3,"ಹೇಮಾವತಿ ಪ್ರಾಥಮಿಕ ಮತ್ತು ಫ್ರೌಢಶಾಲೆ, ಟಿ.ಕೆ.ಬಡಾವಣೆ, 4ನೇ ಹಂತ, ರೂಂ ನಂ 3 ಮೈಸೂರು",
216,4,"ಹೇಮಾವತಿ ಪ್ರಾಥಮಿಕ ಮತ್ತು ಫ್ರೌಢಶಾಲೆ,ಟಿ.ಕೆ.ಬಡಾವಣೆ,4ನೇ ಹಂತ,ರೂಂ ನಂ.4,ಮೈಸೂರು",
216,5,"ಹೇಮಾವತಿ ಪ್ರಾಥಮಿಕ ಮತ್ತು ಫ್ರೌಢಶಾಲೆ, ಟಿ.ಕೆ. ಬಡಾವಣೆ, 4ನೇ ಹಂತ, ರೂಂ ನಂ. 5 ಮೈಸೂರು",
216,6,"ಹೇಮಾವತಿ ಪ್ರಾಥಮಿಕ ಮತ್ತು ಫ್ರೌಢಶಾಲೆ, ಟಿ.ಕೆ. ಬಡಾವಣೆ, 4ನೇ ಹಂತ, ರೂಂ ನಂ 6 ಮೈಸೂರು",
216,7,"ಹೇಮಾವತಿ ಪ್ರಾಥಮಿಕ ಮತ್ತು ಫ್ರೌಢಶಾಲೆ, ಟಿ.ಕೆ. ಬಡಾವಣೆ, 4ನೇ ಹಂತ, ರೂಂ ನಂ 7 ಮೈಸೂರು",
216,8,"ಸರ್ಕಾರಿ ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢಶಾಲೆ, ತೊಣಚಿಕೊಪ್ಪಲು ಬಡಾವಣೆ, ರೂಂ ನಂ 1 ಮೈಸೂರು.",
216,9,"ತರಳಬಾಳು ವಿದ್ಯಾಸಂಸ್ಥೆ, ರೂಂ ನಂ 2, ಸಾಹುಕಾರ್ ಚನ್ನಯ್ಯ ರಸ್ತೆ, ಟಿ. ಕೆ. ಬಡಾವಣೆ, ಮೈಸೂರು",
216,10,"ಸರ್ಕಾರಿ ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢಶಾಲೆ, ತೊಣಚಿಕೊಪ್ಪಲು ಬಡಾವಣೆ, ರೂಂ ನಂ 2 ಮೈಸೂರು.",
216,11,"ಸರ್ಕಾರಿ ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢಶಾಲೆ, ತೊಣಚಿಕೊಪ್ಪಲು ಬಡಾವಣೆ, ರೂಂ ನಂ 3 ಮೈಸೂರು.",
216,12,"ತರಳಬಾಳು ವಿದ್ಯಾಸಂಸ್ಥೆ, ಸಾಹುಕಾರ್ ಚೆನ್ನಯ್ಯ ರಸ್ತೆ, ರೂಂ ನಂ 1, ಮೈಸೂರು.",
216,13,"ಮಹರ್ಷಿ ಪಬ್ಲಿಕ್ ಶಾಲೆ, ರೂಂ.ನಂ.1, ವಿಶ್ವೇಶ್ವರನಗರ, ಮೈಸೂರು",
216,14,"ಮಹರ್ಷಿ ಪಬ್ಲಿಕ್ ಶಾಲೆ, ರೂಂ.ನಂ.2, ವಿಶ್ವೇಶ್ವರನಗರ, ಮೈಸೂರು",
216,15,"ಮಹರ್ಷಿ ಪಬ್ಲಿಕ್ ಶಾಲೆ,ರೂಂ.ನಂ.3, ವಿಶ್ವೇಶ್ವರನಗರ, ಮೈಸೂರು",
216,16,"ಕುವೆಂಪು ವಿದ್ಯಾವರ್ಧಕ ಪ್ರಾಥಮಿಕ ಶಾಲೆ,ರೂಂ ನಂ1 ಕಾಮಾಕ್ಷಿ ಆಸ್ಪತ್ರೆ ರಸ್ತೆ ಕುವೆಂಪು ನಗರ.",
216,17,"ಕುವೆಂಪು ವಿದ್ಯಾವರ್ಧಕ ಪ್ರಾಥಮಿಕ ಶಾಲೆ,ರೂಂ ನಂ 2 ಕಾಮಾಕ್ಷಿ ಆಸ್ಪತ್ರೆ ರಸ್ತೆ ಕುವೆಂಪುನಗರ.",
216,18,"ಕುವೆಂಪು ವಿದ್ಯಾವರ್ಧಕ ಪ್ರೌಢಶಾಲೆ, ರೂಂ ನಂ 1, ಕಾಮಾಕ್ಷಿ ಆಸ್ಪತ್ರೆ ರಸ್ತೆ, ಕುವೆಂಪುನಗರ, ಮೈಸೂರು.",
216,19,"ಕುವೆಂಪು ವಿದ್ಯಾವರ್ಧಕ ಪ್ರೌಢಶಾಲೆ, ರೂಂ ನಂ 2 ಕಾಮಾಕ್ಷಿ ಆಸ್ಪತ್ರೆ ರಸ್ತೆ ಕುವೆಂಪುನಗರ",
