AC NO,Part NO,Polling Station Name(Kannada),Polling Station Name(English)
110,1,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಕೋಣನತಲೆ,
110,2,ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ  ಹರಗನಹಳ್ಳಿ,
110,3,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ  ಹಿರೆಗೋಣಿಗೆರೆ-1.ಕೊಠಡಿ ಸಂಖ್ಯೆ-1,
110,4,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಹಿರೆಗೋಣಿಗೆರೆ-2.ಕೊಠಡಿ ಸಂಖ್ಯೆ-2.,
110,5,ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ  ಹೋನ್ನೂರು ವಡ್ಡರಹಟ್ಟಿ,
110,6,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ  ಚಿಕ್ಕಗೋಣಿಗೆರೆ,
110,7,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ  ಹೋಳೆಹರಳಹಳ್ಳಿ-1.ಕೊಠಡಿ ನಂ-1,
110,8,8.ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ  ಹೋಳೆಹರಳಹಳ್ಳಿ-2.ಕೊಠಡಿ ಸಂಖ್ಯೆ-2,
110,9,ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ. ಕೋಟೆಮಲ್ಲೂರು,
110,10,ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ  ಕೋಟೆಮಲ್ಲೂರು ತಾಂಡ ( ವಿಜಯಪುರ ),
